year,month,business_unit,budgeted_revenue,budgeted_expense
2022,1,Retail,1530660,1259760
2022,1,Enterprise,1689240,1152615
2022,1,Online,2069088,1776169
2022,2,Retail,1836984,1201730
2022,2,Enterprise,1923012,1454263
2022,2,Online,1516272,1117069
2022,3,Retail,1510920,1106833
2022,3,Enterprise,1576692,959653
2022,3,Online,2119464,1677676
2022,4,Retail,1731204,1275919
2022,4,Enterprise,2042184,1592655
2022,4,Online,2132844,1388082
2022,5,Retail,1941312,1464351
2022,5,Enterprise,1614000,1241179
2022,5,Online,2067444,1506637
2022,6,Retail,2269428,2064497
2022,6,Enterprise,2156292,1850978
2022,6,Online,1828320,1436298
2022,7,Retail,2138832,1861077
2022,7,Enterprise,1751964,1339025
2022,7,Online,2141004,1418391
2022,8,Retail,1908504,1350911
2022,8,Enterprise,1867140,1528990
2022,8,Online,2223636,1574826
2022,9,Retail,1864728,1155001
2022,9,Enterprise,1946100,1217896
2022,9,Online,2091276,1872494
2022,10,Retail,2136888,1364682
2022,10,Enterprise,1818540,1310868
2022,10,Online,1545372,1230762
2022,11,Retail,2155812,2019121
2022,11,Enterprise,1941984,1299082
2022,11,Online,1897800,1222463
2022,12,Retail,1880352,1625767
2022,12,Enterprise,1543128,1029907
2022,12,Online,2000556,1869553
2023,1,Retail,1911132,1494207
2023,1,Enterprise,1763448,1241685
2023,1,Online,2107800,1685669
2023,2,Retail,2254644,1859934
2023,2,Enterprise,1761396,1620831
2023,2,Online,1467768,1197161
2023,3,Retail,1455840,968065
2023,3,Enterprise,1958568,1359716
2023,3,Online,2236200,2039587
2023,4,Retail,1497672,947304
2023,4,Enterprise,1447104,1075355
2023,4,Online,1478364,906681
2023,5,Retail,1536324,966907
2023,5,Enterprise,1962300,1549494
2023,5,Online,2177532,1714311
2023,6,Retail,1546296,1072712
2023,6,Enterprise,2064216,1327689
2023,6,Online,2277540,1794023
2023,7,Retail,1646928,1447498
2023,7,Enterprise,1708104,1404083
2023,7,Online,1646472,1550629
2023,8,Retail,2053608,1752327
2023,8,Enterprise,1609344,1243372
2023,8,Online,1947864,1378878
2023,9,Retail,2038596,1670006
2023,9,Enterprise,1803924,1648132
2023,9,Online,2014596,1867683
2023,10,Retail,1539204,1054276
2023,10,Enterprise,2257884,1762094
2023,10,Online,2233884,1881397
2023,11,Retail,1459224,1208692
2023,11,Enterprise,2224500,1880110
2023,11,Online,1820280,1364966
2023,12,Retail,1988016,1350159
2023,12,Enterprise,2245428,1499851
2023,12,Online,2263008,1662605
