customer_id,customer_name,segment,join_date,region,status
CUST10000,"Johnson, Olson and Smith",Online,2020-03-28,North,Active
CUST10001,Colon-Valdez,Enterprise,2018-02-15,West,Active
CUST10002,"Henry, Jones and Farley",Online,2022-03-21,North,Active
CUST10003,Williams-Dalton,Retail,2021-03-22,West,Active
CUST10004,Fisher-Serrano,Enterprise,2018-11-02,East,Active
CUST10005,Jennings Ltd,Online,2019-07-17,South,Active
CUST10006,Tate-Haas,Retail,2023-10-13,West,Active
CUST10007,"Brooks, Aguilar and Young",Enterprise,2018-05-14,North,Active
CUST10008,Herrera-Ingram,Retail,2018-09-07,East,Active
CUST10009,"Dunn, Graham and Brown",Retail,2021-02-02,West,Active
CUST10010,"Moore, Walker and Gutierrez",Retail,2017-04-06,East,Active
CUST10011,Turner-Lawson,Enterprise,2017-07-04,West,Active
CUST10012,Hernandez PLC,Enterprise,2023-08-13,East,Active
CUST10013,"Hernandez, Stuart and Mejia",Enterprise,2020-02-03,South,Active
CUST10014,Meza Group,Online,2023-10-16,East,Active
CUST10015,Sanchez-Hill,Online,2021-04-27,East,Active
CUST10016,Hancock LLC,Retail,2020-03-10,West,Active
CUST10017,Guerrero and Sons,Retail,2022-06-10,West,Active
CUST10018,Mejia-Murphy,Online,2018-07-27,West,Active
CUST10019,"Marquez, Rivera and Flores",Retail,2017-07-25,North,Active
CUST10020,Sullivan-Moore,Retail,2023-06-11,South,Active
CUST10021,Nunez-Allen,Retail,2020-09-04,East,Active
CUST10022,Meyer-Guzman,Online,2017-06-11,East,Active
CUST10023,Craig-Hurst,Retail,2017-12-14,East,Active
CUST10024,"Richards, Ryan and Burns",Online,2018-03-01,West,Active
CUST10025,Garcia-Dickson,Enterprise,2022-10-20,West,Active
CUST10026,Gonzales Inc,Retail,2017-05-11,East,Active
CUST10027,Bass-Marsh,Online,2017-12-23,South,Active
CUST10028,Hampton-Livingston,Retail,2019-05-28,West,Active
CUST10029,Hurst-Wolfe,Retail,2019-12-19,North,Active
CUST10030,"Stone, Mills and Singh",Retail,2019-04-07,West,Active
CUST10031,Mcdaniel Ltd,Enterprise,2023-05-01,North,Active
CUST10032,"Calderon, Mendoza and Aguirre",Online,2023-09-25,North,Active
CUST10033,York-Wright,Retail,2019-01-10,West,Active
CUST10034,Williams PLC,Online,2022-05-14,East,Active
CUST10035,Zavala LLC,Online,2018-02-21,South,Active
CUST10036,Thomas-Larson,Retail,2023-06-08,North,Active
CUST10037,Odom and Sons,Enterprise,2017-07-24,South,Active
CUST10038,Simmons Inc,Retail,2021-10-15,East,Active
CUST10039,Clay-Ford,Enterprise,2022-03-16,West,Active
CUST10040,"Wilcox, Sharp and West",Enterprise,2022-03-15,South,Active
CUST10041,Adams LLC,Online,2017-10-25,East,Active
CUST10042,"Smith, Coleman and Ortiz",Retail,2019-09-04,South,Active
CUST10043,"Gonzalez, Barton and Robles",Retail,2022-10-07,East,Active
CUST10044,Scott-Bryant,Enterprise,2022-04-25,East,Active
CUST10045,"Curry, Owens and Carter",Retail,2020-06-30,South,Active
CUST10046,Sullivan-Fowler,Retail,2019-06-12,West,Active
CUST10047,Olson-Griffin,Enterprise,2020-05-04,East,Active
CUST10048,Miller-Fernandez,Enterprise,2019-07-28,South,Active
CUST10049,"Sullivan, Leon and Oconnell",Retail,2023-12-11,North,Active
CUST10050,"Elliott, Larson and Gross",Enterprise,2019-02-22,East,Active
CUST10051,"Murphy, Morris and Yang",Retail,2021-04-09,North,Active
CUST10052,Obrien-Allen,Enterprise,2019-02-26,West,Active
CUST10053,"Gibbs, Walls and Robinson",Enterprise,2022-03-19,South,Active
CUST10054,Lee-Armstrong,Enterprise,2020-01-29,West,Active
CUST10055,"Smith, Harris and Charles",Online,2021-01-07,South,Active
CUST10056,"Cantu, Elliott and Townsend",Online,2022-11-06,East,Active
CUST10057,Sandoval PLC,Online,2017-05-10,West,Active
CUST10058,"Diaz, Mcconnell and Nguyen",Online,2021-06-20,West,Active
CUST10059,Wilson LLC,Retail,2023-12-30,South,Active
CUST10060,Sharp PLC,Enterprise,2020-07-30,West,Active
CUST10061,Davis-Gonzales,Enterprise,2023-03-01,South,Active
CUST10062,Thomas Group,Enterprise,2021-12-11,East,Active
CUST10063,"Hayes, Ramos and Munoz",Online,2019-06-24,West,Active
