transaction_id,transaction_date,amount,account_type,category,business_unit,region,customer_id,vendor_id,description
TRX100000,2023-09-03,-66631.73,Expense,Supplies,Online,West,,VEND1053,Begin catch control dark practice.
TRX100001,2023-09-13,-54305.58,Expense,Utilities,Enterprise,East,,VEND1059,Style guy soldier boy energy above.
TRX100002,2023-06-27,146074.92,Revenue,Subscription,Online,East,CUST10122,,Skill surface drug personal western.
TRX100003,2023-06-25,212157.95,Revenue,Service,Enterprise,West,CUST10027,,Develop many it I rich floor decide.
TRX100004,2023-11-15,-35944.73,Expense,Rent,Enterprise,North,,VEND1046,Choose thought teach never.
TRX100005,2023-03-04,90953.83,Revenue,Service,Retail,South,CUST10332,,Dinner present unit lay course.
TRX100006,2023-07-08,73251.21,Revenue,Service,Online,West,CUST10270,,Data ago arm care hundred represent wonder.
TRX100007,2022-03-24,-21064.02,Expense,Marketing,Online,East,,VEND1115,Sign such remember range ability.
TRX100008,2022-08-02,136347.73,Revenue,Product,Retail,West,CUST10168,,Poor similar feeling close require probably rather thought.
TRX100009,2023-06-17,159482.0,Revenue,Product,Retail,West,CUST10151,,Cause worker statement office able foot.
TRX100010,2022-07-07,15882.36,Equity,Equity,Retail,South,,,Ready enter quite attack resource list commercial.
TRX100011,2022-08-08,217487.82,Revenue,Product,Online,North,CUST10353,,Before green media feeling Mr half trouble.
TRX100012,2023-03-16,-8913.27,Expense,Other,Enterprise,East,,VEND1067,Rise discover visit security end buy medical think.
TRX100013,2023-12-10,139523.96,Revenue,Service,Retail,North,CUST10243,,Military line exist little education family world.
TRX100014,2023-07-18,165589.04,Revenue,Service,Online,East,CUST10357,,Artist place loss morning.
TRX100015,2023-01-26,262541.15,Revenue,Service,Retail,West,CUST10045,,Game evidence support skill pretty.
TRX100016,2023-06-10,152113.39,Revenue,Service,Online,South,CUST10120,,Bad author generation decade increase.
TRX100017,2022-06-14,107495.7,Revenue,Service,Online,North,CUST10228,,Left own eat wife tell with.
TRX100018,2023-09-21,83127.62,Revenue,Subscription,Online,West,CUST10333,,Individual first region.
TRX100019,2022-08-20,145634.47,Revenue,Service,Enterprise,West,CUST10302,,Rise war shake doctor.
TRX100020,2023-05-16,167566.97,Revenue,Service,Retail,North,CUST10042,,Before expect allow job one set.
TRX100021,2022-06-14,-2000.0,Expense,Rent,Online,West,,VEND1022,Side official leave seem financial.
TRX100022,2023-03-13,203374.65,Revenue,Service,Online,South,CUST10021,,Must require bit relate Congress local improve organization.
TRX100023,2023-09-20,171433.19,Revenue,Product,Enterprise,West,CUST10218,,Identify loss across fact government sea upon.
TRX100024,2022-10-16,-60198.87,Expense,Payroll,Enterprise,North,,VEND1058,Big fine cause full reality heart condition another.
TRX100025,2023-06-20,-40143.88,Expense,Rent,Retail,West,,VEND1037,Good owner financial any result summer physical.
TRX100026,2023-10-09,-38329.0,Expense,Marketing,Enterprise,West,,VEND1049,Sport note decide who modern car knowledge.
TRX100027,2022-12-06,193475.45,Revenue,Service,Retail,South,CUST10146,,Game step assume late home order morning to.
TRX100028,2023-03-17,139672.98,Revenue,Subscription,Enterprise,South,CUST10074,,Nature need environment operation country easy across choice.
TRX100029,2023-09-19,198385.78,Revenue,Subscription,Enterprise,North,CUST10011,,Scientist particularly include true listen happy.
TRX100030,2022-09-10,137108.16,Revenue,Service,Enterprise,East,CUST10325,,Citizen help never simple course.
TRX100031,2022-03-04,-44326.21,Expense,Other,Retail,East,,VEND1053,Billion newspaper modern fine career somebody.
TRX100032,2023-02-13,162088.99,Revenue,Service,Enterprise,North,CUST10203,,Wall campaign might anyone.
TRX100033,2022-10-13,138103.68,Revenue,Subscription,Online,North,CUST10151,,Could impact decide key.
TRX100034,2022-05-14,-10197.61,Expense,Utilities,Retail,East,,VEND1014,Imagine must who discover since painting.
TRX100035,2023-08-07,-62926.94,Expense,Marketing,Retail,West,,VEND1093,Training nor arrive.
TRX100036,2023-09-26,144593.87,Revenue,Service,Enterprise,East,CUST10086,,Field some arrive society everybody guy public.
TRX100037,2022-02-03,38814.58,Revenue,Product,Retail,North,CUST10013,,Order agreement mind everything.
TRX100038,2023-02-26,-36977.97,Expense,Rent,Online,East,,VEND1082,Watch would miss interview water trouble.
